"scen","country","iso3n","period","cob","sex","agegr","edu3","edu_names3","pop","imm","emi"
"Medium","Austria",40,"2020-2024","NEU","Male","20-39","e6","High",39736,13809,8599
"Medium","Austria",40,"2020-2024","NEU","Male","40-64","e4","Low",95213,3527,1087
"Medium","Austria",40,"2020-2024","NEU","Male","40-64","e5","Middle",80189,3366,3138
"Medium","Austria",40,"2020-2024","NEU","Male","40-64","e6","High",36674,4312,3813
"Medium","Austria",40,"2020-2024","NEU","Male","65+","e4","Low",25545,405,181
"Medium","Austria",40,"2020-2024","NEU","Male","65+","e5","Middle",16395,392,478
"Medium","Austria",40,"2020-2024","NEU","Male","65+","e6","High",8845,600,508
"Medium","Austria",40,"2025-2029","EU","Female","0-19","e4","Low",23549,1881,641
"Medium","Austria",40,"2025-2029","EU","Female","0-19","e5","Middle",3094,2108,886
"Medium","Austria",40,"2025-2029","EU","Female","0-19","e6","High",215,2390,970
"Medium","Austria",40,"2025-2029","EU","Female","20-39","e4","Low",29845,593,132
"Medium","Austria",40,"2025-2029","EU","Female","20-39","e5","Middle",45548,3900,1655
"Medium","Austria",40,"2025-2029","EU","Female","20-39","e6","High",51551,8864,5693
"Medium","Austria",40,"2025-2029","EU","Female","40-64","e4","Low",51887,884,393
"Medium","Austria",40,"2025-2029","EU","Female","40-64","e5","Middle",75037,2496,1901
"Medium","Austria",40,"2025-2029","EU","Female","40-64","e6","High",66003,3998,3675
"Medium","Austria",40,"2025-2029","EU","Female","65+","e4","Low",24530,316,237
"Medium","Austria",40,"2025-2029","EU","Female","65+","e5","Middle",39588,682,611
"Medium","Austria",40,"2025-2029","EU","Female","65+","e6","High",21969,670,593
"Medium","Austria",40,"2025-2029","EU","Male","0-19","e4","Low",24971,1949,746
"Medium","Austria",40,"2025-2029","EU","Male","0-19","e5","Middle",2535,2362,976
"Medium","Austria",40,"2025-2029","EU","Male","0-19","e6","High",139,1217,446
"Medium","Austria",40,"2025-2029","EU","Male","20-39","e4","Low",35080,799,243
"Medium","Austria",40,"2025-2029","EU","Male","20-39","e5","Middle",48555,4250,2073
"Medium","Austria",40,"2025-2029","EU","Male","20-39","e6","High",38855,7642,4602
"Medium","Austria",40,"2025-2029","EU","Male","40-64","e4","Low",47960,871,273
"Medium","Austria",40,"2025-2029","EU","Male","40-64","e5","Middle",74113,2265,1993
"Medium","Austria",40,"2025-2029","EU","Male","40-64","e6","High",53424,3714,3189
"Medium","Austria",40,"2025-2029","EU","Male","65+","e4","Low",9328,173,75
"Medium","Austria",40,"2025-2029","EU","Male","65+","e5","Middle",27674,467,544
"Medium","Austria",40,"2025-2029","EU","Male","65+","e6","High",22220,648,594
"Medium","Austria",40,"2025-2029","NAT","Female","0-19","e4","Low",549362,364,128
"Medium","Austria",40,"2025-2029","NAT","Female","0-19","e5","Middle",128831,362,145
"Medium","Austria",40,"2025-2029","NAT","Female","0-19","e6","High",96542,464,193
"Medium","Austria",40,"2025-2029","NAT","Female","20-39","e4","Low",66118,179,43
"Medium","Austria",40,"2025-2029","NAT","Female","20-39","e5","Middle",303362,811,353
"Medium","Austria",40,"2025-2029","NAT","Female","20-39","e6","High",432015,2113,1380
"Medium","Austria",40,"2025-2029","NAT","Female","40-64","e4","Low",153659,366,172
"Medium","Austria",40,"2025-2029","NAT","Female","40-64","e5","Middle",551307,637,497
"Medium","Austria",40,"2025-2029","NAT","Female","40-64","e6","High",447273,1643,1527
"Medium","Austria",40,"2025-2029","NAT","Female","65+","e4","Low",316713,201,152
"Medium","Austria",40,"2025-2029","NAT","Female","65+","e5","Middle",425149,264,237
"Medium","Austria",40,"2025-2029","NAT","Female","65+","e6","High",145367,439,384
"Medium","Austria",40,"2025-2029","NAT","Male","0-19","e4","Low",597773,381,152
"Medium","Austria",40,"2025-2029","NAT","Male","0-19","e5","Middle",121971,397,157
"Medium","Austria",40,"2025-2029","NAT","Male","0-19","e6","High",99033,277,106
"Medium","Austria",40,"2025-2029","NAT","Male","20-39","e4","Low",106164,212,67
"Medium","Austria",40,"2025-2029","NAT","Male","20-39","e5","Middle",405333,809,402
"Medium","Austria",40,"2025-2029","NAT","Male","20-39","e6","High",325476,1889,1166
"Medium","Austria",40,"2025-2029","NAT","Male","40-64","e4","Low",84047,354,113
"Medium","Austria",40,"2025-2029","NAT","Male","40-64","e5","Middle",649223,535,487
"Medium","Austria",40,"2025-2029","NAT","Male","40-64","e6","High",429227,1609,1397
"Medium","Austria",40,"2025-2029","NAT","Male","65+","e4","Low",89015,157,69
"Medium","Austria",40,"2025-2029","NAT","Male","65+","e5","Middle",417628,191,224
"Medium","Austria",40,"2025-2029","NAT","Male","65+","e6","High",197244,410,372
"Medium","Austria",40,"2025-2029","NEU","Female","0-19","e4","Low",29727,12339,3654
"Medium","Austria",40,"2025-2029","NEU","Female","0-19","e5","Middle",4064,7088,2890
"Medium","Austria",40,"2025-2029","NEU","Female","0-19","e6","High",132,5147,2090
"Medium","Austria",40,"2025-2029","NEU","Female","20-39","e4","Low",53194,7180,1474
"Medium","Austria",40,"2025-2029","NEU","Female","20-39","e5","Middle",54893,11899,4952
"Medium","Austria",40,"2025-2029","NEU","Female","20-39","e6","High",47034,15752,10067
"Medium","Austria",40,"2025-2029","NEU","Female","40-64","e4","Low",123981,4435,1881
"Medium","Austria",40,"2025-2029","NEU","Female","40-64","e5","Middle",69060,4122,3043
"Medium","Austria",40,"2025-2029","NEU","Female","40-64","e6","High",51037,4983,4534
"Medium","Austria",40,"2025-2029","NEU","Female","65+","e4","Low",50808,817,612
"Medium","Austria",40,"2025-2029","NEU","Female","65+","e5","Middle",17082,798,714
"Medium","Austria",40,"2025-2029","NEU","Female","65+","e6","High",11256,786,695
"Medium","Austria",40,"2025-2029","NEU","Male","0-19","e4","Low",32210,12383,4059
"Medium","Austria",40,"2025-2029","NEU","Male","0-19","e5","Middle",3403,7646,3008
"Medium","Austria",40,"2025-2029","NEU","Male","0-19","e6","High",119,3888,1425
"Medium","Austria",40,"2025-2029","NEU","Male","20-39","e4","Low",69268,7062,2067
"Medium","Austria",40,"2025-2029","NEU","Male","20-39","e5","Middle",61571,11468,5544
"Medium","Austria",40,"2025-2029","NEU","Male","20-39","e6","High",42985,15711,9310
"Medium","Austria",40,"2025-2029","NEU","Male","40-64","e4","Low",107639,3937,1226
"Medium","Austria",40,"2025-2029","NEU","Male","40-64","e5","Middle",87023,3841,3285
"Medium","Austria",40,"2025-2029","NEU","Male","40-64","e6","High",45097,5181,4394
"Medium","Austria",40,"2025-2029","NEU","Male","65+","e4","Low",32281,544,235
"Medium","Austria",40,"2025-2029","NEU","Male","65+","e5","Middle",23619,574,668
"Medium","Austria",40,"2025-2029","NEU","Male","65+","e6","High",12609,836,766
"Medium","Austria",40,"2030-2034","EU","Female","0-19","e4","Low",12800,1393,469
"Medium","Austria",40,"2030-2034","EU","Female","0-19","e5","Middle",2672,2155,903
