"orig","dest","year5","age","sex","education","flow"
"AUT","BEL",2000,"40-64","Female","Low",16.1011485461822
"AUT","BEL",2000,"40-64","Female","Middle",19.6161716344182
"AUT","BEL",2000,"40-64","Male","High",12.598298575654
"AUT","BEL",2000,"40-64","Male","Low",18.7196545942453
"AUT","BEL",2000,"40-64","Male","Middle",23.9316647060319
"AUT","BEL",2000,"65+","Female","High",1.14705472142604
"AUT","BEL",2000,"65+","Female","Low",3.20320906730379
"AUT","BEL",2000,"65+","Female","Middle",2.10398653810799
"AUT","BEL",2000,"65+","Male","High",1.24553292989114
"AUT","BEL",2000,"65+","Male","Low",3.74640740265212
"AUT","BEL",2000,"65+","Male","Middle",2.36850258016147
"AUT","BEL",2005,"0-19","Female","High",0.00439277407275272
"AUT","BEL",2005,"0-19","Female","Low",94.3714181168361
"AUT","BEL",2005,"0-19","Female","Middle",18.4148594009511
"AUT","BEL",2005,"0-19","Male","High",0.000978279078218496
"AUT","BEL",2005,"0-19","Male","Low",91.9479736162975
"AUT","BEL",2005,"0-19","Male","Middle",18.6382602597421
"AUT","BEL",2005,"20-39","Female","High",86.8370721635881
"AUT","BEL",2005,"20-39","Female","Low",62.2189858723011
"AUT","BEL",2005,"20-39","Female","Middle",172.259102227419
"AUT","BEL",2005,"20-39","Male","High",108.579281906961
"AUT","BEL",2005,"20-39","Male","Low",62.1925101874694
"AUT","BEL",2005,"20-39","Male","Middle",179.991053368766
"AUT","BEL",2005,"40-64","Female","High",32.3223359606848
"AUT","BEL",2005,"40-64","Female","Low",41.6674032721029
"AUT","BEL",2005,"40-64","Female","Middle",59.0820899503412
"AUT","BEL",2005,"40-64","Male","High",35.7583197506859
"AUT","BEL",2005,"40-64","Male","Low",42.9705698511777
"AUT","BEL",2005,"40-64","Male","Middle",66.3369769215799
"AUT","BEL",2005,"65+","Female","High",3.07120160920666
"AUT","BEL",2005,"65+","Female","Low",6.90184821384999
"AUT","BEL",2005,"65+","Female","Middle",4.99841792126389
"AUT","BEL",2005,"65+","Male","High",2.87088459288833
"AUT","BEL",2005,"65+","Male","Low",7.48802842590639
"AUT","BEL",2005,"65+","Male","Middle",4.99105946907642
"AUT","BEL",2010,"0-19","Female","High",0.00745891641100664
"AUT","BEL",2010,"0-19","Female","Low",144.024635793416
"AUT","BEL",2010,"0-19","Female","Middle",30.9993508515195
"AUT","BEL",2010,"0-19","Male","High",0.00131224068999558
"AUT","BEL",2010,"0-19","Male","Low",153.859616190663
"AUT","BEL",2010,"0-19","Male","Middle",27.2449843693776
"AUT","BEL",2010,"20-39","Female","High",128.138163102377
"AUT","BEL",2010,"20-39","Female","Low",80.7271664820094
"AUT","BEL",2010,"20-39","Female","Middle",257.046167900274
"AUT","BEL",2010,"20-39","Male","High",144.575247961576
"AUT","BEL",2010,"20-39","Male","Low",70.8239340111041
"AUT","BEL",2010,"20-39","Male","Middle",219.61609823356
"AUT","BEL",2010,"40-64","Female","High",41.24681747009
"AUT","BEL",2010,"40-64","Female","Low",49.4428257565441
"AUT","BEL",2010,"40-64","Female","Middle",77.6810081270272
"AUT","BEL",2010,"40-64","Male","High",50.7162784847572
"AUT","BEL",2010,"40-64","Male","Low",52.8260400094934
"AUT","BEL",2010,"40-64","Male","Middle",87.098394634776
"AUT","BEL",2010,"65+","Female","High",4.11493656640425
"AUT","BEL",2010,"65+","Female","Low",8.03983620532153
"AUT","BEL",2010,"65+","Female","Middle",6.5733048528067
"AUT","BEL",2010,"65+","Male","High",3.87093006716442
"AUT","BEL",2010,"65+","Male","Low",8.88905291449948
"AUT","BEL",2010,"65+","Male","Middle",6.7521218401212
"AUT","BEL",2015,"0-19","Female","High",0.00189011145661082
"AUT","BEL",2015,"0-19","Female","Low",138.137921022857
"AUT","BEL",2015,"0-19","Female","Middle",33.6676054521484
"AUT","BEL",2015,"0-19","Male","High",0.00361436063786158
"AUT","BEL",2015,"0-19","Male","Low",156.415597981225
"AUT","BEL",2015,"0-19","Male","Middle",33.5993308810601
